英語,日本語,品詞,例文英語１,例文日本語１,例文英語2,例文日本語2,例文英語3,例文日本語3,例文英語4,例文日本語4,last_learned_date,mistake_count,correct_count
impressive,"印象的な,鮮烈な",形容詞,Her performance was truly impressive.,彼女の演技は本当に印象的だった。,The building has an impressive architecture.,その建物は印象的な建築様式を持っている。,He made an impressive presentation.,彼は鮮烈なプレゼンテーションを行った。,The team achieved an impressive victory.,そのチームは印象的な勝利を収めた。,,0,0
owe,"を借りている,借用する",動詞,I owe him $100.,彼に100ドル借りている。,We owe our success to hard work.,私たちの成功は努力のおかげだ。,You owe me an apology.,あなたは私に謝罪する義務がある。,He still owes a lot of money on his car.,彼はまだ車に多額のお金を借りている。,,0,0
regarding,"に関して,について",前置詞,I have a question regarding your previous statement.,あなたの以前の発言に関して質問があります。,The company issued a statement regarding the incident.,その会社は事件に関して声明を発表した。,"Regarding your request, we will process it as soon as possible.",あなたの要求に関して、できるだけ早く処理します。,He remained silent regarding the accusations.,彼は告発に関して沈黙を守った。,,0,0
recession,"不況,後退",名詞,The country is currently in a recession.,その国は現在、不況にある。,Many businesses struggled during the last recession.,多くの企業が前回の不況時に苦戦した。,The government is taking measures to avoid a deeper recession.,政府はより深刻な不況を避けるための措置を講じている。,A recession can lead to job losses.,不況は失業につながることがある。,,0,0
spiritual,"精神の,心の",形容詞,She is on a spiritual journey to find inner peace.,彼女は内なる平和を見つけるための精神的な旅をしている。,The temple is a place of spiritual reflection.,その寺院は精神的な思索の場だ。,He finds spiritual comfort in nature.,彼は自然の中に精神的な安らぎを見出す。,The book explores the spiritual side of human existence.,その本は人間の存在の精神的な側面を探求している。,,0,0
jail,"刑務所,拘置所",名詞,He was sent to jail for theft.,彼は窃盗で刑務所に送られた。,The suspect was held in jail overnight.,容疑者は一晩中拘置所に留置された。,She visited her brother in jail.,彼女は刑務所にいる兄を訪ねた。,The new law aims to keep dangerous criminals in jail longer.,新しい法律は危険な犯罪者をより長く刑務所に留めることを目指している。,,0,0
shortly,"まもなく,近々",副詞,The train will arrive shortly.,電車はまもなく到着します。,She arrived shortly after I did.,私が到着した直後に彼女が来た。,The meeting will begin shortly.,会議はまもなく始まる。,He will be back shortly.,彼はまもなく戻ってくるだろう。,,0,0
freeze,"凍る,氷結",動詞,The water pipes might freeze tonight.,今夜、水道管が凍結するかもしれない。,"I'm so cold, I think I'm going to freeze.",とても寒い、凍えそうだ。,The government decided to freeze wages.,政府は賃金を凍結することを決定した。,The deer froze when it saw the car's headlights.,鹿は車のヘッドライトを見て凍りついた。,,0,0
sustain,"保持する,維持する",動詞,The bridge is designed to sustain heavy loads.,その橋は重い荷重に耐えるように設計されている。,He sustained serious injuries in the accident.,彼は事故で重傷を負った。,The company needs to sustain its growth.,その会社は成長を維持する必要がある。,She found it difficult to sustain a long conversation.,彼女は長い会話を続けるのが難しいと感じた。,,0,0
minority,"少数派,少数群",名詞,The decision was made by a minority of the members.,その決定は少数のメンバーによってなされた。,Ethnic minorities often face discrimination.,少数民族はしばしば差別を受ける。,Women are still a minority in leadership positions.,女性はまだ指導的地位において少数派だ。,He belongs to a religious minority.,彼は宗教的少数派に属している。,,0,0
pile,"積み重ね,累積",名詞,He made a pile of books on his desk.,彼は机の上に本の山を作った。,The clothes were piled high on the chair.,服が椅子の上に高く積み重ねられていた。,She made a pile of money in the stock market.,彼女は株式市場で大金を稼いだ。,The documents were piled up on his desk.,書類が彼の机の上に山積みになっていた。,,0,0
distinct,"他と違った,別の",形容詞,There are two distinct types of cells.,2つの異なる種類の細胞がある。,The two cultures have distinct traditions.,2つの文化には明確に異なる伝統がある。,He has a distinct accent.,彼には独特のアクセントがある。,The flavors of the herbs were quite distinct.,ハーブの風味はかなりはっきりしていた。,,0,0
finance,"財政,財務",名詞,He works in the field of corporate finance.,彼は企業財務の分野で働いている。,The project will be financed by the government.,そのプロジェクトは政府によって資金が提供されるだろう。,She is studying finance at university.,彼女は大学で財政学を学んでいる。,We need to manage our personal finances carefully.,私たちは個人の財政を慎重に管理する必要がある。,,0,0
